MacherTypes	SelectorTypes	DetectorType	descriptorType	FrameNo	No of KP	 KP-time 	No of Desc	Desc-time	No of Match	Match-time
MAT_BF     	SEL_NN     	FAST      	ORB       	3	423	1747	[32 x 423]	2599	285	919
MAT_BF     	SEL_NN     	FAST      	ORB       	4	386	1532	[32 x 386]	2110	289	544
MAT_BF     	SEL_NN     	FAST      	ORB       	5	414	1439	[32 x 414]	2119	277	563
MAT_BF     	SEL_NN     	FAST      	ORB       	6	418	1465	[32 x 418]	2133	297	568
MAT_BF     	SEL_NN     	FAST      	ORB       	7	406	1463	[32 x 406]	2111	285	561
MAT_BF     	SEL_NN     	FAST      	ORB       	8	396	1488	[32 x 396]	2069	285	531
MAT_BF     	SEL_NN     	FAST      	ORB       	9	401	1500	[32 x 401]	2075	284	520
MAT_BF     	SEL_NN     	FAST      	FREAK    	0	419	2629	[64 x 419]	35247	0	0
MAT_BF     	SEL_NN     	FAST      	FREAK    	1	427	1886	[64 x 427]	19364	264	633
MAT_BF     	SEL_NN     	FAST      	FREAK    	2	404	1445	[64 x 404]	17871	263	611
MAT_BF     	SEL_NN     	FAST      	FREAK    	3	423	1445	[64 x 423]	17741	255	608
MAT_BF     	SEL_NN     	FAST      	FREAK    	4	386	1451	[64 x 386]	18140	262	583
MAT_BF     	SEL_NN     	FAST      	FREAK    	5	414	1523	[64 x 414]	17736	263	570
MAT_BF     	SEL_NN     	FAST      	FREAK    	6	418	1468	[64 x 418]	18946	276	633
MAT_BF     	SEL_NN     	FAST      	FREAK    	7	406	1534	[64 x 406]	18127	272	601
MAT_BF     	SEL_NN     	FAST      	FREAK    	8	396	1492	[64 x 396]	18115	258	573
MAT_BF     	SEL_NN     	FAST      	FREAK    	9	401	1499	[64 x 401]	18067	269	565
MAT_BF     	SEL_NN     	FAST      	AKAZE    	0	419	3460	[0 x 0]	-1	0	0
MAT_BF     	SEL_NN     	FAST      	AKAZE    	1	427	1471	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	FAST      	AKAZE    	2	404	1449	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	FAST      	AKAZE    	3	423	1453	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	FAST      	AKAZE    	4	386	1451	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	FAST      	AKAZE    	5	414	1458	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	FAST      	AKAZE    	6	418	1473	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	FAST      	AKAZE    	7	406	1468	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	FAST      	AKAZE    	8	396	1495	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	FAST      	AKAZE    	9	401	1511	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	FAST      	SIFT     	0	419	6595	[128 x 419]	28713	0	0
MAT_BF     	SEL_NN     	FAST      	SIFT     	1	427	2171	[128 x 427]	11236	301	953
MAT_BF     	SEL_NN     	FAST      	SIFT     	2	404	1445	[128 x 404]	8971	306	897
MAT_BF     	SEL_NN     	FAST      	SIFT     	3	423	1447	[128 x 423]	9033	295	866
MAT_BF     	SEL_NN     	FAST      	SIFT     	4	386	1507	[128 x 386]	8878	287	833
MAT_BF     	SEL_NN     	FAST      	SIFT     	5	414	1456	[128 x 414]	9096	275	809
MAT_BF     	SEL_NN     	FAST      	SIFT     	6	418	1467	[128 x 418]	9030	302	864
MAT_BF     	SEL_NN     	FAST      	SIFT     	7	406	1520	[128 x 406]	8962	299	853
MAT_BF     	SEL_NN     	FAST      	SIFT     	8	396	1491	[128 x 396]	9040	285	821
MAT_BF     	SEL_NN     	FAST      	SIFT     	9	401	1499	[128 x 401]	8996	291	791
MAT_BF     	SEL_NN     	BRISK    	BRISK     	0	264	76933	[64 x 264]	18925	0	0
MAT_BF     	SEL_NN     	BRISK    	BRISK     	1	282	45148	[64 x 282]	19002	170	344
MAT_BF     	SEL_NN     	BRISK    	BRISK     	2	282	45577	[64 x 282]	19059	185	363
MAT_BF     	SEL_NN     	BRISK    	BRISK     	3	277	44820	[64 x 277]	18942	172	360
MAT_BF     	SEL_NN     	BRISK    	BRISK     	4	297	45117	[64 x 297]	19186	176	355
MAT_BF     	SEL_NN     	BRISK    	BRISK     	5	279	44896	[64 x 279]	19329	178	368
MAT_BF     	SEL_NN     	BRISK    	BRISK     	6	289	45314	[64 x 289]	19066	195	360
MAT_BF     	SEL_NN     	BRISK    	BRISK     	7	272	44339	[64 x 272]	19011	178	362
MAT_BF     	SEL_NN     	BRISK    	BRISK     	8	266	45538	[64 x 266]	19251	178	332
MAT_BF     	SEL_NN     	BRISK    	BRISK     	9	254	45574	[64 x 254]	19343	168	314
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	0	264	74394	[32 x 264]	464	0	0
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	1	282	45757	[32 x 282]	581	174	306
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	2	282	45904	[32 x 282]	488	172	331
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	3	277	45582	[32 x 277]	492	162	337
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	4	297	45593	[32 x 297]	506	167	333
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	5	279	45497	[32 x 279]	489	172	346
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	6	289	45925	[32 x 289]	506	184	361
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	7	272	45747	[32 x 272]	552	179	312
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	8	266	45432	[32 x 266]	467	177	305
MAT_BF     	SEL_NN     	BRISK    	BRIEF    	9	254	45056	[32 x 254]	452	163	345
MAT_BF     	SEL_NN     	BRISK    	ORB       	0	264	73511	[32 x 264]	6165	0	0
MAT_BF     	SEL_NN     	BRISK    	ORB       	1	282	44744	[32 x 282]	6113	180	306
MAT_BF     	SEL_NN     	BRISK    	ORB       	2	282	44996	[32 x 282]	6148	185	323
MAT_BF     	SEL_NN     	BRISK    	ORB       	3	277	44559	[32 x 277]	6064	163	315
MAT_BF     	SEL_NN     	BRISK    	ORB       	4	297	44767	[32 x 297]	6118	173	325
MAT_BF     	SEL_NN     	BRISK    	ORB       	5	279	45322	[32 x 279]	6072	179	329
MAT_BF     	SEL_NN     	BRISK    	ORB       	6	289	44869	[32 x 289]	6112	185	314
MAT_BF     	SEL_NN     	BRISK    	ORB       	7	272	44427	[32 x 272]	6072	178	319
MAT_BF     	SEL_NN     	BRISK    	ORB       	8	266	44735	[32 x 266]	6077	175	303
MAT_BF     	SEL_NN     	BRISK    	ORB       	9	254	44345	[32 x 254]	6062	170	290
MAT_BF     	SEL_NN     	BRISK    	FREAK    	0	242	77544	[64 x 242]	18692	0	0
MAT_BF     	SEL_NN     	BRISK    	FREAK    	1	260	45063	[64 x 260]	18230	158	300
MAT_BF     	SEL_NN     	BRISK    	FREAK    	2	263	45441	[64 x 263]	17710	177	313
MAT_BF     	SEL_NN     	BRISK    	FREAK    	3	264	45105	[64 x 264]	17879	162	318
MAT_BF     	SEL_NN     	BRISK    	FREAK    	4	274	44708	[64 x 274]	17730	172	323
MAT_BF     	SEL_NN     	BRISK    	FREAK    	5	256	44770	[64 x 256]	17977	158	306
MAT_BF     	SEL_NN     	BRISK    	FREAK    	6	269	44894	[64 x 269]	17750	176	316
MAT_BF     	SEL_NN     	BRISK    	FREAK    	7	255	44536	[64 x 255]	17771	168	318
MAT_BF     	SEL_NN     	BRISK    	FREAK    	8	243	45640	[64 x 243]	18488	172	314
MAT_BF     	SEL_NN     	BRISK    	FREAK    	9	237	46339	[64 x 237]	18033	152	281
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	0	264	60890	[0 x 0]	-1	0	0
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	1	282	45465	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	2	282	45111	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	BRISK    	AKAZE    	3	277	45497	[0 x 0]	-1	0	2
